"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-12","St. Catharines-Niagara, Ontario","2021S0503539","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711511","21.8.1.1","6.5","","","","1"
"2026-01","St. Catharines-Niagara, Ontario","2021S0503539","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711511","21.8.1.1","7.6","","","","1"
"2026-02","St. Catharines-Niagara, Ontario","2021S0503539","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711511","21.8.1.1","7.7","","","","1"
"2025-10","Kitchener-Cambridge-Waterloo, Ontario","2021S0503541","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711781","22.8.1.1","7.6","","","","1"
"2025-11","Kitchener-Cambridge-Waterloo, Ontario","2021S0503541","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711781","22.8.1.1","7.8","","","","1"
"2025-12","Kitchener-Cambridge-Waterloo, Ontario","2021S0503541","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711781","22.8.1.1","8.1","","","","1"
"2026-01","Kitchener-Cambridge-Waterloo, Ontario","2021S0503541","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711781","22.8.1.1","8.3","","","","1"
"2026-02","Kitchener-Cambridge-Waterloo, Ontario","2021S0503541","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642711781","22.8.1.1","8.8","","","","1"
"2025-10","Brantford, Ontario","2021S0503543","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712051","23.8.1.1","9.3","","","","1"
"2025-11","Brantford, Ontario","2021S0503543","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712051","23.8.1.1","8.2","","","","1"
"2025-12","Brantford, Ontario","2021S0503543","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712051","23.8.1.1","8.5","","","","1"
"2026-01","Brantford, Ontario","2021S0503543","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712051","23.8.1.1","8.5","","","","1"
"2026-02","Brantford, Ontario","2021S0503543","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712051","23.8.1.1","8.0","","","","1"
"2025-10","Guelph, Ontario","2021S0503550","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712321","24.8.1.1","8.6","","","","1"
"2025-11","Guelph, Ontario","2021S0503550","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712321","24.8.1.1","8.1","","","","1"
"2025-12","Guelph, Ontario","2021S0503550","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712321","24.8.1.1","7.4","","","","1"
"2026-01","Guelph, Ontario","2021S0503550","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712321","24.8.1.1","6.6","","","","1"
"2026-02","Guelph, Ontario","2021S0503550","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712321","24.8.1.1","6.1","","","","1"
"2025-10","London, Ontario","2021S0503555","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712591","25.8.1.1","7.0","","","","1"
"2025-11","London, Ontario","2021S0503555","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712591","25.8.1.1","6.8","","","","1"
"2025-12","London, Ontario","2021S0503555","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712591","25.8.1.1","7.3","","","","1"
"2026-01","London, Ontario","2021S0503555","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712591","25.8.1.1","8.0","","","","1"
"2026-02","London, Ontario","2021S0503555","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712591","25.8.1.1","8.9","","","","1"
"2025-10","Windsor, Ontario","2021S0503559","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712861","26.8.1.1","10.1","","","","1"
"2025-11","Windsor, Ontario","2021S0503559","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712861","26.8.1.1","7.6","","","","1"
"2025-12","Windsor, Ontario","2021S0503559","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712861","26.8.1.1","7.1","","","","1"
"2026-01","Windsor, Ontario","2021S0503559","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712861","26.8.1.1","7.7","","","","1"
"2026-02","Windsor, Ontario","2021S0503559","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642712861","26.8.1.1","8.1","","","","1"
"2025-10","Barrie, Ontario","2021S0503568","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642713131","27.8.1.1","8.5","","","","1"
"2025-11","Barrie, Ontario","2021S0503568","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642713131","27.8.1.1","8.4","","","","1"
"2025-12","Barrie, Ontario","2021S0503568","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642713131","27.8.1.1","8.7","","","","1"
"2026-01","Barrie, Ontario","2021S0503568","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642713131","27.8.1.1","8.5","","","","1"
"2026-02","Barrie, Ontario","2021S0503568","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642713131","27.8.1.1","8.7","","","","1"
"2025-10","Greater Sudbury, Ontario","2021S0503580","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642713401","28.8.1.1","6.7","","","","1"
